trip_uuid,Line_Id,source_center,destination_center
trip-153671494219272400,2,IND431708AAA,IND431514AAA
trip-153671494219272400,3,IND431514AAA,IND431515AAA
trip-153671494219272400,4,IND431515AAA,IND431517AAB
trip-153671494219272400,5,IND431517AAB,IND411033AAA
trip-153671505195307510,1,IND713205AAB,IND722202AAA
trip-153671505195307510,2,IND722202AAA,IND722101AAC
trip-153671505195307510,3,IND722101AAA,IND722122AAA
trip-153671506098357680,1,IND396191AAC,IND396232AAA
trip-153671508851597828,1,IND362001AAA,IND360575AAA
trip-153671508851597828,2,IND360575AAA,IND360510AAB
trip-153671508851597828,3,IND360530AAB,IND362001AAA
trip-153671531316758155,1,IND362001AAA,IND360370AAA
trip-153671531316758155,2,IND360370AAA,IND360410AAA
trip-153671531316758155,3,IND360410AAA,IND360490AAA
trip-153671547254076660,1,IND501359AAE,IND508252AAB
trip-153671547254076660,2,IND508252AAB,IND508207AAB
trip-153671547254076660,3,IND508207AAB,IND521225AAB
trip-153671547254076660,4,IND521225AAB,IND507002AAA
trip-153671547254076660,5,IND507002AAA,IND508213AAB
trip-153671547254076660,6,IND508213AAB,IND508001AAA
trip-153671547254076660,7,IND508001AAA,IND501359AAE
trip-153671549993828365,1,IND384205AAA,IND384355AAB
trip-153671549993828365,2,IND384355AAB,IND385001AAA
trip-153671549993828365,3,IND385001AAA,IND385535AAA
trip-153671549993828365,4,IND385535AAA,IND384205AAA
trip-153671572175509918,1,IND842003AAB,IND483501AAA
trip-153671574781365511,1,IND700028AAB,IND712311AAA
trip-153671590416667638,1,IND560099AAB,IND560300AAA
trip-153671602871109556,1,IND362001AAA,IND362220AAA
trip-153671602871109556,2,IND362265AAA,IND362720AAA
trip-153671602871109556,3,IND362720AAA,IND362560AAA
trip-153671602871109556,4,IND362560AAA,IND362150AAA
trip-153671602871109556,5,IND362150AAA,IND362001AAA
trip-153671643960185339,1,IND571111AAB,IND571313AAB
trip-153671643960185339,2,IND571313AAB,IND571440AAA
trip-153671643960185339,3,IND571440AAA,IND571430AAA
trip-153671643960185339,4,IND571430AAA,IND571124AAA
trip-153671643960185339,5,IND571124AAA,IND570020AAA
trip-153671645272011824,1,IND421302AAG,IND400102AAB
trip-153671655901475301,1,IND570020AAA,IND571602AAA
trip-153671655901475301,2,IND571105AAA,IND571213AAA
trip-153671655901475301,3,IND571213AAA,IND571114AAA
trip-153671655901475301,4,IND571114AAA,IND570020AAA
trip-153671674818301757,1,IND384205AAA,IND384170AAA
trip-153671674818301757,2,IND384265AAB,IND385320AAA
trip-153671674818301757,3,IND385320AAA,IND385340AAB
trip-153671695519287480,1,IND501359AAE,IND533106AAA
trip-153671695519287480,2,IND533106AAA,IND530012AAA
trip-153671695519287480,3,IND530012AAC,IND501359AAE
trip-153671703263480019,1,IND403726AAA,IND416510AAA
trip-153671703263480019,2,IND416510AAA,IND416602AAC
trip-153671703263480019,3,IND416602AAC,IND411033AAA
trip-153671706877291618,1,IND462001AAA,IND462022AAA
trip-153671715851493285,1,IND000000ACB,IND751002AAB
trip-153671717917876174,1,IND000000ACB,IND302014AAA
trip-153671723500134877,1,IND110037AAM,IND209304AAA
trip-153671723500134877,2,IND209304AAA,IND211002AAB
trip-153671726684858447,1,IND131028AAB,IND244001AAA
trip-153671726684858447,2,IND244001AAA,IND263153AAB
trip-153671726684858447,3,IND263153AAB,IND131028AAB
trip-153671735399307935,1,IND000000ACB,IND131028AAB
trip-153671735681324192,1,IND384205AAA,IND383001AAA
trip-153671735681324192,2,IND383001AAA,IND383315AAC
trip-153671735681324192,3,IND383315AAC,IND383255AAB
trip-153671735681324192,4,IND383255AAB,IND384205AAA
trip-153671742249756615,1,IND000000ACB,IND821115AAB
trip-153671752240019144,1,IND832109AAB,IND834002AAB
trip-153671801197508215,1,IND110037AAM,IND110085AAB
trip-153671803100571827,1,IND605010AAB,IND607001AAA
trip-153671803100571827,2,IND607001AAA,IND608001AAA
trip-153671803100571827,3,IND608001AAA,IND609110AAA
trip-153671803100571827,4,IND609110AAA,IND609602AAA
trip-153671803100571827,5,IND609602AAA,IND611001AAA
trip-153671803100571827,6,IND611001AAA,IND610001AAA
trip-153671803100571827,7,IND610001AAA,IND605010AAB
trip-153671804931054468,1,IND110037AAM,IND201007AAA
trip-153671808478450647,1,IND600056AAB,IND600110AAA
trip-153671811509671845,1,IND388121AAA,IND388620AAB
trip-153671811509671845,2,IND388620AAB,IND388320AAA
trip-153671813821616145,1,IND431603AAA,IND413531AAA
trip-153671813821616145,2,IND413531AAA,IND413517AAA
trip-153671813821616145,3,IND413517AAA,IND431717AAA
trip-153671813821616145,4,IND431717AAA,IND431603AAA
trip-153671817433368939,1,IND110037AAM,IND201301AAF
trip-153671827663864476,1,IND388320AAA,IND387001AAA
trip-153671827663864476,2,IND387001AAA,IND388220AAA
trip-153671827663864476,3,IND388220AAA,IND388320AAA
trip-153671843215737572,1,IND560083AAB,IND562132AAA
trip-153671844300881686,1,IND605601AAA,IND607106AAA
trip-153671844300881686,2,IND607106AAA,IND607801AAA
trip-153671844300881686,3,IND607801AAA,IND606003AAA
trip-153671844300881686,4,IND606003AAA,IND606105AAA
trip-153671844300881686,5,IND606105AAA,IND606201AAC
trip-153671844300881686,6,IND606201AAC,IND605601AAA
trip-153671846595383321,1,IND723133AAA,IND723130AAA
trip-153671846595383321,2,IND723130AAA,IND723101AAA
trip-153671846595383321,3,IND723101AAA,IND723202AAA
trip-153671846595383321,4,IND723202AAA,IND713205AAB
trip-153671851245407364,1,IND462022AAA,IND462011AAA
trip-153671851245407364,2,IND462011AAA,IND462022AAA
trip-153671851672781082,1,IND751002AAB,IND756100AAC
trip-153671873142397119,1,IND411033AAA,IND403726AAA
trip-153671876809484616,1,IND211002AAB,IND211013AAA
trip-153671876809484616,2,IND211008AAA,IND211002AAB
trip-153671879822845615,1,IND411033AAA,IND421302AAG
trip-153671889362601558,1,IND600056AAB,IND600116AAB
trip-153671894302046722,1,IND600056AAB,IND600016AAC
trip-153671897992909657,1,IND732138AAA,IND733102AAA
trip-153671899116229748,1,IND400102AAC,IND421302AAG
trip-153671899904329250,1,IND110037AAM,IND000000ACB
trip-153671899904329250,2,IND000000ACB,IND124112AAA
trip-153671899904329250,3,IND124112AAA,IND125005AAA
trip-153671942074761472,1,IND131028AAB,IND000000ACB
trip-153671954603403612,1,IND160002AAC,IND160102AAC
trip-153671961585258384,1,IND000000ACB,IND110095AAB
trip-153671962361707473,1,IND635802AAB,IND635601AAB
trip-153671962361707473,2,IND635601AAB,IND635802AAB
trip-153671968400207294,1,IND400015AAB,IND421302AAG
trip-153671974938064572,1,IND249407AAA,IND246149AAA
trip-153671974938064572,2,IND246149AAA,IND249407AAA
trip-153671988171824583,1,IND421302AAG,IND400072AAB
trip-153671998865037832,1,IND503111AAC,IND503185AAA
trip-153671998865037832,2,IND503185AAA,IND503187AAA
trip-153671998865037832,3,IND503187AAA,IND503122AAA
trip-153671998865037832,4,IND503122AAA,IND502110AAA
trip-153671998865037832,5,IND502110AAA,IND502313AAA
trip-153671998865037832,6,IND502313AAA,IND503111AAC
trip-153672000309775410,1,IND421302AAG,IND562132AAA
trip-153672000309775410,2,IND562132AAA,IND600056AAB
trip-153672012445728568,1,IND000000ACB,IND110064AAA
trip-153672019145222964,1,IND562132AAA,IND560048AAB
trip-153672022267158924,1,IND000000ACB,IND834002AAB
trip-153672026682746785,1,IND370201AAA,IND363330AAB
trip-153672026682746785,2,IND363330AAB,IND363310AAB
trip-153672026682746785,3,IND363310AAB,IND382430AAB
trip-153672034455004313,1,IND583201AAA,IND583227AAA
trip-153672034455004313,2,IND583227AAA,IND583231AAA
trip-153672034455004313,3,IND583231AAA,IND583201AAA
trip-153672049730580194,1,IND174021AAA,IND176048AAA
trip-153672049730580194,2,IND176048AAA,IND175015AAA
trip-153672049730580194,3,IND175015AAA,IND174001AAA
trip-153672051951158256,1,IND562132AAA,IND560043AAC
trip-153672052264703928,1,IND721306AAA,IND721507AAA
trip-153672052264703928,2,IND721501AAC,IND721253AAC
trip-153672052264703928,3,IND721253AAC,IND721306AAA
trip-153672060417747932,1,IND000000ACB,IND201301AAF
trip-153672067533390870,1,IND282001AAF,IND283122AAB
trip-153672070284937432,1,IND000000ACB,IND201007AAA
trip-153672099097862043,1,IND562132AAA,IND560078AAC
trip-153672101309094813,1,IND562132AAA,IND560002AAA
trip-153672103428781055,1,IND261201AAB,IND261001AAA
trip-153672103428781055,2,IND261001AAA,IND262701AAA
trip-153672103428781055,3,IND262701AAA,IND262802AAA
trip-153672103428781055,4,IND262802AAA,IND262723AAB
trip-153672127651656092,1,IND000000ACB,IND110030AAD
trip-153672142393733105,1,IND403726AAA,IND403702AAA
trip-153672142393733105,2,IND403702AAA,IND575004AAB
trip-153672147805561709,1,IND400072AAB,IND400015AAA
trip-153672159202422521,1,IND000000ACB,IND110085AAB
trip-153672204952303828,1,IND396321AAA,IND396580AAB
trip-153672205264952830,1,IND000000ACB,IND000000AEL
trip-153672222326898553,1,IND673592AAA,IND670645AAB
trip-153672224115676017,1,IND411033AAA,IND000000ACB
trip-153672239189693252,1,IND000000ACB,IND121004AAB
trip-153672275060033414,1,IND562132AAA,IND560060AAB
trip-153672275941814788,1,IND226004AAA,IND226016AAA
trip-153672303104231624,1,IND560300AAA,IND560058AAB
trip-153672303104231624,2,IND560058AAB,IND560060AAB
trip-153672303787286607,1,IND412105AAC,IND411017AAA
trip-153672307850855979,1,IND560300AAA,IND560043AAC
trip-153672319198219770,1,IND560300AAA,IND560078AAC
trip-153672353695971568,1,IND560099AAB,IND560002AAA
trip-153672354281727425,1,IND632006AAA,IND600056AAB
trip-153672365367028560,1,IND560099AAB,IND560078AAC
trip-153672376565321277,1,IND781018AAB,IND788026AAC
trip-153672379024249675,1,IND000000AFT,IND410209AAA
trip-153672395001586273,1,IND560099AAB,IND560048AAB
trip-153672404409295648,1,IND370110AAA,IND370001AAA
trip-153672404409295648,2,IND370001AAA,IND370615AAB
trip-153672405264707177,1,IND501359AAE,IND500010AAB
trip-153672411988459333,1,IND560099AAB,IND560058AAB
trip-153672414018981725,1,IND736135AAA,IND736165AAA
trip-153672415020756821,1,IND411033AAA,IND411021AAA
trip-153672418178422181,1,IND400072AAC,IND400011AAA
trip-153672425803188288,1,IND560099AAB,IND560043AAC
trip-153672431895916022,1,IND786181AAC,IND792120AAB
trip-153672441218550740,1,IND401501AAA,IND401602AAA
trip-153672441218550740,2,IND401602AAA,IND401501AAA
trip-153672445663718863,1,IND560300AAA,IND560099AAB
trip-153672450350188570,1,IND530026AAA,IND531036AAA
trip-153672450350188570,2,IND531036AAA,IND530012AAA
trip-153672451189544188,1,IND562132AAA,IND560099AAB
trip-153672454740695837,1,IND110037AAM,IND121004AAB
trip-153672461009280410,1,IND784001AAA,IND790114AAA
trip-153672461009280410,2,IND790001AAB,IND784001AAA
trip-153672494389235158,1,IND400072AAB,IND401104AAA
trip-153672512613542907,1,IND517501AAB,IND517583AAA
trip-153672512613542907,2,IND517583AAA,IND516101AAA
trip-153672512613542907,3,IND516101AAA,IND516115AAA
trip-153672512613542907,4,IND516115AAA,IND517501AAB
trip-153672519077623083,1,IND000000ACB,IND122001AAA
trip-153672525257659165,1,IND517501AAB,IND517644AAA
trip-153672525257659165,2,IND517644AAA,IND524132AAA
trip-153672525257659165,3,IND524132AAA,IND524101AAB
trip-153672525257659165,4,IND524101AAB,IND517501AAB
trip-153672540460474516,1,IND000000ACB,IND201301AAM
trip-153672543219155559,1,IND402107AAA,IND402109AAA
trip-153672543219155559,2,IND402109AAA,IND402301AAA
trip-153672543219155559,3,IND402301AAA,IND402107AAA
trip-153672577155623714,1,IND562132AAA,IND560083AAB
trip-153672586564167775,1,IND712311AAA,IND700065AAA
trip-153672602762069952,1,IND131028AAB,IND110037AAM
trip-153672617834077732,1,IND000000ACB,IND209304AAA
trip-153672620720777341,1,IND462022AAA,IND842003AAB
trip-153672665248001692,1,IND712311AAA,IND700026AAC
trip-153672695897301514,1,IND382430AAB,IND382345AAA
trip-153672695897301514,2,IND380021AAA,IND382430AAB
trip-153672708669422456,1,IND382430AAB,IND380054AAA
trip-153672708669422456,2,IND380054AAA,IND382430AAB
trip-153672711713116348,1,IND421302AAR,IND400612AAA
trip-153672713039839724,1,IND382430AAB,IND380015AAB
trip-153672713039839724,2,IND380006AAB,IND382430AAB
trip-153672720630966730,1,IND224001AAA,IND224141AAB
trip-153672720630966730,2,IND224141AAB,IND224122AAA
trip-153672730050148686,1,IND421302AAR,IND421004AAA
trip-153672748691412100,1,IND382421AAA,IND382430AAB
trip-153672749921227547,1,IND400072AAB,IND400701AAB
trip-153672759903669220,1,IND421302AAR,IND421301AAA
trip-153672772947083137,1,IND000000ACB,IND842001AAA
trip-153672772947083137,2,IND842001AAA,IND854326AAB
trip-153672773961297465,1,IND411033AAA,IND431136AAC
trip-153672790230534782,1,IND000000ACB,IND121002AAB
trip-153672808393094644,1,IND560099AAB,IND562132AAA
trip-153672812854032840,1,IND712311AAA,IND700053AAA
trip-153672822352952165,1,IND560099AAB,IND562132AAA
trip-153672822352952165,2,IND562132AAA,IND515004AAA
trip-153672822352952165,3,IND515004AAA,IND501359AAE
trip-153672839307074463,1,IND421302AAG,IND110037AAM
trip-153672858267952820,1,IND712311AAA,IND751002AAB
trip-153672858267952820,2,IND751002AAB,IND562132AAA
trip-153672874579777811,1,IND000000AEM,IND110064AAB
trip-153672880926533564,1,IND562132AAA,IND560058AAD
trip-153672887541821030,1,IND144001AAB,IND144401AAB
trip-153672887541821030,2,IND144401AAB,IND144001AAB
trip-153672888737299317,1,IND000000ACB,IND131028AAB
trip-153672910344258396,1,IND411033AAA,IND416012AAA
trip-153672940362706716,1,IND461111AAA,IND460001AAA
trip-153672940362706716,2,IND460001AAA,IND480334AAA
trip-153672940362706716,3,IND480334AAA,IND480106AAA
trip-153672950567443529,1,IND400015AAA,IND400072AAB
trip-153672951329546981,1,IND721139AAC,IND721636AAB
trip-153672951329546981,2,IND721636AAB,IND721602AAB
trip-153672951329546981,3,IND721602AAB,IND721139AAC
trip-153672959414460093,1,IND421302AAG,IND400701AAB
trip-153672959414460093,2,IND400701AAB,IND421302AAG
trip-153672980669577242,1,IND400015AAB,IND400072AAB
trip-153672988367358584,1,IND462011AAA,IND462022AAA
trip-153672990417646450,1,IND639001AAA,IND624001AAA
trip-153672990417646450,2,IND624001AAA,IND625008AAA
trip-153672990689830527,1,IND395023AAD,IND395009AAA
trip-153672993959967279,1,IND560078AAC,IND562132AAA
trip-153673002682350292,1,IND637408AAA,IND637001AAA
trip-153673011869342487,1,IND600044AAD,IND600032AAB
trip-153673012557297456,1,IND637301AAA,IND638001AAA
trip-153673015657807119,1,IND160002AAC,IND000000ACA
trip-153673022184526893,1,IND411033AAA,IND421302AAG
trip-153673034777341588,1,IND560060AAB,IND562132AAA
trip-153673037415018148,1,IND160002AAC,IND160055AAA
trip-153673037415018148,2,IND140301AAA,IND140901AAA
trip-153673073027412884,1,IND560002AAA,IND560099AAB
trip-153673080853115028,1,IND785001AAA,IND785682AAA
trip-153673080853115028,2,IND785612AAB,IND781018AAB
trip-153673088381201691,1,IND401104AAA,IND400072AAB
trip-153673097098218825,1,IND600056AAB,IND600044AAE
trip-153673138564024513,1,IND411021AAA,IND411033AAA
trip-153673142386310284,1,IND121004AAB,IND110037AAM
trip-153673142558212478,1,IND560078AAC,IND560099AAB
trip-153673149494217241,1,IND395023AAD,IND395001AAA
trip-153673160689391455,1,IND110037AAM,IND202001AAB
trip-153673160689391455,2,IND202001AAB,IND205001AAB
trip-153673160689391455,3,IND205001AAB,IND205135AAA
trip-153673160689391455,4,IND205135AAA,IND283203AAA
trip-153673160689391455,5,IND283203AAA,IND110037AAM
trip-153673167382819064,1,IND131028AAB,IND160002AAC
trip-153673177622009920,1,IND302014AAB,IND302006AAA
trip-153673187649540346,1,IND603203AAA,IND600044AAD
trip-153673190515807673,1,IND532001AAB,IND532127AAA
trip-153673190515807673,2,IND532127AAA,IND535591AAA
trip-153673190515807673,3,IND535558AAA,IND535501AAB
trip-153673190515807673,4,IND535501AAB,IND532440AAA
trip-153673190515807673,5,IND532440AAA,IND532001AAB
trip-153673193589829199,1,IND532001AAB,IND532421AAA
trip-153673193589829199,2,IND532421AAA,IND532201AAA
trip-153673193589829199,3,IND532201AAA,IND532222AAA
trip-153673193589829199,4,IND532222AAA,IND761200AAA
trip-153673193589829199,5,IND761200AAA,IND532001AAB
trip-153673195446382519,1,IND401104AAA,IND401208AAA
trip-153673205624505891,1,IND560300AAA,IND560099AAB
trip-153673207765704721,1,IND000000ACB,IND562132AAA
trip-153673212880241423,1,IND751015AAA,IND751002AAB
trip-153673212889259623,1,IND560300AAA,IND562132AAA
trip-153673215973531719,1,IND560002AAA,IND562132AAA
trip-153673256276590285,1,IND248001AAD,IND131028AAB
trip-153673262045699874,1,IND500039AAC,IND501359AAE
trip-153673264931393247,1,IND781018AAB,IND781022AAA
trip-153673265552367343,1,IND560043AAC,IND562132AAA
trip-153673272485497113,1,IND781018AAB,IND781003AAA
trip-153673275082213870,1,IND160002AAC,IND151001AAA
trip-153673275082213870,2,IND151001AAA,IND160002AAC
trip-153673277610596498,1,IND781014AAA,IND781102AAA
trip-153673277610596498,2,IND781102AAA,IND781018AAB
trip-153673284118041423,1,IND712310AAE,IND712124AAA
trip-153673284118041423,2,IND712124AAA,IND712103AAA
trip-153673284118041423,3,IND712103AAA,IND712310AAE
trip-153673287245568976,1,IND110037AAM,IND201301AAD
trip-153673287245568976,2,IND201301AAD,IND110037AAM
trip-153673306951329606,1,IND400072AAD,IND421302AAG
trip-153673311186190356,1,IND302014AAB,IND302020AAA
trip-153673312898113858,1,IND411033AAA,IND431603AAA
trip-153673318719383090,1,IND176201AAA,IND176303AAA
trip-153673318719383090,2,IND176303AAA,IND176310AAA
trip-153673318719383090,3,IND176310AAA,IND145001AAA
trip-153673320520046917,1,IND712311AAA,IND742101AAC
trip-153673320520046917,2,IND742101AAC,IND742202AAA
trip-153673320520046917,3,IND742202AAA,IND732103AAA
trip-153673323948835707,1,IND560048AAB,IND560099AAB
trip-153673345184642848,1,IND416510AAA,IND416606AAA
trip-153673367606016726,1,IND560067AAC,IND562114AAA
trip-153673367606016726,2,IND562114AAA,IND560048AAB
trip-153673378734731044,1,IND302014AAB,IND302006AAC
trip-153673379909774378,1,IND465683AAA,IND465001AAA
trip-153673379909774378,2,IND465001AAA,IND465333AAA
trip-153673379909774378,3,IND465333AAA,IND462022AAA
trip-153673404344602262,1,IND500080AAB,IND501359AAE
trip-153673424644333580,1,IND110064AAA,IND000000ACB
trip-153673465075403520,1,IND302014AAB,IND302023AAA
trip-153673465290084710,1,IND600044AAD,IND600048AAA
trip-153673484160597271,1,IND302014AAB,IND302004AAA
trip-153673495038923445,1,IND110037AAM,IND110020AAB
trip-153673495038923445,2,IND110020AAB,IND110037AAM
trip-153673510267491368,1,IND600004AAA,IND600008AAC
trip-153673521432737313,1,IND141003AAB,IND000000ACA
trip-153673541039568251,1,IND421302AAN,IND400072AAB
trip-153673549440831945,1,IND110030AAD,IND000000ACB
trip-153673549485156899,1,IND560099AAB,IND560300AAA
trip-153673551648259571,1,IND110043AAA,IND110078AAA
trip-153673551648259571,2,IND110078AAA,IND110043AAA
trip-153673564396673932,1,IND560043AAC,IND560064AAA
trip-153673564396673932,2,IND560064AAD,IND560043AAC
trip-153673586858116198,1,IND160002AAC,IND000000ACB
trip-153673586858116198,2,IND000000ACB,IND421302AAG
trip-153673591278210512,1,IND562132AAA,IND560078AAC
trip-153673591727224910,1,IND110037AAM,IND110020AAB
trip-153673601753701329,1,IND110085AAB,IND000000ACB
trip-153673619703496263,1,IND000000ACT,IND131028AAB
trip-153673624962504801,1,IND411033AAA,IND411014AAA
trip-153673632842623605,1,IND000000AFT,IND410209AAA
trip-153673632842623605,2,IND410206AAB,IND000000AFT
trip-153673633086629901,1,IND160002AAC,IND143001AAA
trip-153673633086629901,2,IND143001AAA,IND144001AAB
trip-153673633086629901,3,IND144001AAB,IND000000ACA
trip-153673633086629901,4,IND000000ACA,IND160002AAC
trip-153673676023702527,1,IND562132AAA,IND560300AAA
trip-153673679350813545,1,IND641607AAA,IND641062AAD
trip-153673686310719201,1,IND562132AAA,IND560058AAB
trip-153673687702875276,1,IND400701AAA,IND410206AAA
trip-153673694915055454,1,IND110014AAA,IND110024AAA
trip-153673698511871750,1,IND636102AAA,IND605601AAA
trip-153673698511871750,2,IND605601AAA,IND600056AAB
trip-153673707590960410,1,IND600032AAB,IND600076AAB
