trip_uuid,Line_Id,source_center,destination_center
trip-153705888695075813,2,IND246149AAA,IND249407AAA
trip-153705889063890543,1,IND700065AAA,IND712311AAA
trip-153705922367048259,1,IND713205AAB,IND722101AAC
trip-153705922367048259,2,IND722122AAA,IND713205AAB
trip-153705928399838829,1,IND261201AAB,IND261001AAA
trip-153705928399838829,2,IND261001AAA,IND262701AAA
trip-153705928399838829,3,IND262701AAA,IND262802AAA
trip-153705928399838829,4,IND262802AAA,IND262723AAB
trip-153705941687139591,1,IND785690AAB,IND785682AAA
trip-153705944511320359,1,IND585104AAA,IND585211AAA
trip-153705944511320359,2,IND585211AAA,IND585222AAA
trip-153705944511320359,3,IND585222AAA,IND585307AAB
trip-153705944511320359,4,IND585307AAB,IND585104AAA
trip-153705953983273040,1,IND110037AAM,IND209304AAA
trip-153705953983273040,2,IND209304AAA,IND211002AAB
trip-153705961879888501,1,IND262405AAA,IND263153AAB
trip-153705963074297752,1,IND713148AAA,IND713128AAB
trip-153705963074297752,2,IND713128AAB,IND731204AAB
trip-153705963074297752,3,IND731204AAB,IND731301AAA
trip-153705963074297752,4,IND731301AAA,IND713205AAB
trip-153706012412234618,1,IND403726AAA,IND411033AAA
trip-153706027650649325,1,IND501359AAE,IND751002AAB
trip-153706027650649325,2,IND751002AAB,IND712311AAA
trip-153706031799755653,1,IND151001AAA,IND151302AAA
trip-153706031799755653,2,IND151302AAA,IND151505AAA
trip-153706038439833106,1,IND000000ACB,IND131028AAB
trip-153706042412374786,1,IND160002AAC,IND000000ACA
trip-153706077831028948,1,IND423701AAB,IND422011AAD
trip-153706096799967540,1,IND110044AAB,IND110037AAM
trip-153706150616363973,1,IND570020AAA,IND571430AAA
trip-153706157406867727,1,IND570020AAA,IND571602AAA
trip-153706157406867727,2,IND571105AAA,IND571213AAA
trip-153706159747270669,1,IND562132AAA,IND000000ACB
trip-153706159747270669,2,IND000000ACB,IND160002AAC
trip-153706162557919805,1,IND302014AAA,IND000000ACB
trip-153706220351326969,1,IND370201AAA,IND363310AAB
trip-153706220351326969,2,IND363310AAB,IND382430AAB
trip-153706223843126513,1,IND110037AAM,IND110085AAB
trip-153706244255817690,1,IND110037AAM,IND000000ACB
trip-153706244255817690,2,IND000000ACB,IND125033AAA
trip-153706244255817690,3,IND125033AAA,IND125005AAA
trip-153706263305608808,1,IND832109AAB,IND834002AAB
trip-153706266462398194,1,IND000000ACB,IND751002AAB
trip-153706271096203468,1,IND110037AAM,IND201007AAA
trip-153706274059864039,1,IND000000ACB,IND821115AAB
trip-153706276511977775,1,IND110037AAM,IND201301AAF
trip-153706279962515030,1,IND751002AAB,IND756100AAC
trip-153706279962515030,2,IND756032AAA,IND712311AAA
trip-153706283073486262,1,IND600056AAB,IND600116AAB
trip-153706289061926018,1,IND600056AAB,IND600008AAC
trip-153706289061926018,2,IND600008AAC,IND600056AAB
trip-153706294610788538,1,IND600056AAB,IND600032AAB
trip-153706308356985539,1,IND131028AAB,IND000000ACB
trip-153706321776480404,1,IND411033AAA,IND421302AAG
trip-153706327378602088,1,IND600056AAB,IND600110AAA
trip-153706331507280583,1,IND600056AAB,IND600044AAE
trip-153706347933170981,1,IND530012AAA,IND531001AAA
trip-153706347933170981,2,IND531001AAA,IND531116AAA
trip-153706347933170981,3,IND531116AAA,IND531001AAA
trip-153706347933170981,4,IND531001AAA,IND530012AAA
trip-153706355868098639,1,IND632006AAA,IND600056AAB
trip-153706366066154877,1,IND000000ACB,IND302014AAA
trip-153706368708802082,1,IND600056AAB,IND562132AAA
trip-153706395933129013,1,IND000000ACB,IND201301AAM
trip-153706410709894725,1,IND560099AAB,IND560300AAA
trip-153706420348326911,1,IND110037AAM,IND110024AAA
trip-153706423970213443,1,IND530026AAA,IND531036AAA
trip-153706423970213443,2,IND531036AAA,IND530012AAA
trip-153706427261351623,1,IND462022AAA,IND842003AAB
trip-153706445420674268,1,IND131028AAB,IND110037AAM
trip-153706457063830350,1,IND421302AAG,IND400015AAA
trip-153706468046251391,1,IND562132AAA,IND560058AAD
trip-153706474465991530,1,IND421302AAG,IND000000ACB
trip-153706479331334971,1,IND000000ACB,IND462022AAA
trip-153706526720361043,1,IND174021AAA,IND176048AAA
trip-153706526720361043,2,IND176048AAA,IND175015AAA
trip-153706526720361043,3,IND175015AAA,IND174001AAA
trip-153706536280979791,1,IND421302AAG,IND562132AAA
trip-153706536280979791,2,IND562132AAA,IND600056AAB
trip-153706537684333502,1,IND786001AAB,IND786602AAA
trip-153706547420913169,1,IND503111AAC,IND503185AAA
trip-153706547420913169,2,IND503185AAA,IND503187AAA
trip-153706547420913169,3,IND503187AAA,IND503122AAA
trip-153706547420913169,4,IND503122AAA,IND502110AAA
trip-153706547420913169,5,IND502110AAA,IND502313AAA
trip-153706547672389425,1,IND000000ACB,IND000000AEL
trip-153706555219922316,1,IND501359AAE,IND533106AAA
trip-153706555219922316,2,IND533106AAA,IND530012AAA
trip-153706555219922316,3,IND533106AAA,IND501359AAE
trip-153706623590794935,1,IND500039AAD,IND501359AAE
trip-153706636109859209,1,IND000000ACB,IND121004AAB
trip-153706653219345078,1,IND248197AAA,IND248122AAB
trip-153706653219345078,2,IND248122AAB,IND248001AAA
trip-153706705984334815,1,IND211002AAB,IND211013AAA
trip-153706705984334815,2,IND211008AAA,IND211002AAB
trip-153706721271207900,1,IND501359AAE,IND500010AAB
trip-153706723219723546,1,IND000000ACB,IND110064AAA
trip-153706737263420297,1,IND160002AAC,IND160102AAC
trip-153706774686395179,1,IND403726AAA,IND575004AAB
trip-153706783556594741,1,IND411033AAA,IND501359AAE
trip-153706793095938773,1,IND144001AAB,IND144401AAB
trip-153706793095938773,2,IND144401AAB,IND144001AAB
trip-153706798193215592,1,IND562132AAA,IND560300AAA
trip-153706806539402973,1,IND110037AAM,IND121004AAB
trip-153706818243491326,1,IND411033AAA,IND000000ACB
trip-153706842415846691,1,IND562132AAA,IND560078AAC
trip-153706843999093480,1,IND600110AAA,IND600056AAB
trip-153706846526213543,1,IND562132AAA,IND560048AAB
trip-153706879178328285,1,IND560300AAA,IND560078AAC
trip-153706900106530341,1,IND131028AAB,IND244001AAA
trip-153706901999286382,1,IND211002AAB,IND485001AAC
trip-153706901999286382,2,IND485001AAC,IND485771AAA
trip-153706901999286382,3,IND486661AAA,IND211002AAB
trip-153706902909034776,1,IND181201AAB,IND181152AAB
trip-153706904254982580,1,IND560300AAA,IND560043AAC
trip-153706911750831614,1,IND560300AAA,IND560058AAB
trip-153706911750831614,2,IND560058AAB,IND560060AAB
trip-153706929372515960,1,IND562132AAA,IND560043AAC
trip-153706931965332853,1,IND224001AAA,IND224141AAB
trip-153706931965332853,2,IND224141AAB,IND224122AAA
trip-153706939774880650,1,IND712311AAA,IND712410AAC
trip-153706939774880650,2,IND722154AAA,IND712311AAA
trip-153706956356753342,1,IND160002AAC,IND000000ACB
trip-153706982802036788,1,IND560099AAB,IND560060AAB
trip-153706992764677476,1,IND560099AAB,IND560078AAC
trip-153707034680172711,1,IND562132AAA,IND560060AAB
trip-153707034862075497,1,IND560099AAB,IND560085AAA
trip-153707038745850187,1,IND560099AAB,IND560043AAC
trip-153707044314192053,1,IND000000ACB,IND121002AAB
trip-153707051834833439,1,IND560099AAB,IND560048AAB
trip-153707051973214399,1,IND000000ACB,IND209304AAA
trip-153707054709476437,1,IND110037AAK,IND000000ACB
trip-153707058145642089,1,IND736135AAA,IND736165AAA
trip-153707060287376225,1,IND560099AAB,IND560058AAB
trip-1537070625049291000,1,IND532001AAB,IND532421AAA
trip-1537070625049291000,2,IND532421AAA,IND532201AAA
trip-1537070625049291000,3,IND532201AAA,IND532222AAA
trip-153707074835340133,1,IND421302AAG,IND401104AAA
trip-153707076236427015,1,IND532001AAB,IND532127AAA
trip-153707076236427015,2,IND532127AAA,IND535591AAA
trip-153707076236427015,3,IND535558AAA,IND535501AAB
trip-153707078776748877,1,IND121001AAA,IND121004AAB
trip-153707093953626264,1,IND000000ACB,IND122001AAA
trip-153707115900302958,1,IND201301AAL,IND201301AAF
trip-153707192088326341,1,IND421302AAG,IND110037AAM
trip-153707206740299531,1,IND421302AAG,IND400072AAB
trip-153707206961355460,1,IND144001AAB,IND144401AAB
trip-153707220125778005,1,IND712311AAA,IND700065AAA
trip-153707247486914802,1,IND562132AAA,IND560083AAB
trip-153707252272454775,1,IND712311AAA,IND700026AAC
trip-153707272166607646,1,IND781018AAB,IND785621AAA
trip-153707272166607646,2,IND785621AAA,IND785001AAA
trip-153707272166607646,3,IND785001AAA,IND785682AAA
trip-153707272166607646,4,IND785682AAA,IND786001AAB
trip-153707293708383893,1,IND000000ACB,IND842001AAA
trip-153707293708383893,2,IND842001AAA,IND854326AAB
trip-153707293708383893,3,IND854326AAB,IND000000ACB
trip-153707294960221067,1,IND402107AAA,IND402109AAA
trip-153707294960221067,2,IND402109AAA,IND402301AAA
trip-153707297337131664,1,IND781018AAB,IND788026AAC
trip-153707300943004690,1,IND517501AAB,IND517644AAA
trip-153707300943004690,2,IND517644AAA,IND524132AAA
trip-153707300943004690,3,IND524132AAA,IND524101AAB
trip-153707300943004690,4,IND524101AAB,IND517501AAB
trip-153707303755020363,1,IND560099AAB,IND562132AAA
trip-153707303755020363,2,IND562132AAA,IND515004AAA
trip-153707303755020363,3,IND515004AAA,IND501359AAE
trip-153707307438150188,1,IND712311AAA,IND751002AAB
trip-153707307438150188,2,IND751002AAB,IND562132AAA
trip-153707328215007087,1,IND131028AAB,IND160002AAC
trip-153707356389738341,1,IND517501AAB,IND517583AAA
trip-153707356389738341,2,IND517583AAA,IND516101AAA
trip-153707356389738341,3,IND516101AAA,IND516115AAA
trip-153707356389738341,4,IND516115AAA,IND517501AAB
trip-153707392141773293,1,IND000000ACB,IND131028AAB
trip-153707441567897568,1,IND248001AAD,IND131028AAB
trip-153707447155456078,1,IND145001AAA,IND176303AAA
trip-153707447155456078,2,IND176303AAA,IND176310AAA
trip-153707447155456078,3,IND176310AAA,IND145001AAA
trip-153707468568395036,1,IND160002AAC,IND140603AAA
trip-153707476835760886,1,IND712311AAA,IND700053AAA
trip-153707500833371974,1,IND110064AAA,IND000000ACB
trip-153707510627087233,1,IND560060AAB,IND562132AAA
trip-153707536925084142,1,IND110037AAM,IND202001AAB
trip-153707536925084142,2,IND202001AAB,IND205001AAB
trip-153707536925084142,3,IND205001AAB,IND205135AAA
trip-153707536925084142,4,IND205135AAA,IND283203AAA
trip-153707536925084142,5,IND283203AAA,IND110037AAM
trip-153707553552681661,1,IND462011AAA,IND462022AAA
trip-153707556187222437,1,IND160002AAC,IND160055AAA
trip-153707556187222437,2,IND140301AAA,IND140901AAA
trip-153707556187222437,3,IND140901AAA,IND160002AAC
trip-153707564620762629,1,IND600032AAB,IND600076AAB
trip-153707589153184139,1,IND600032AAB,IND600044AAD
trip-153707610388648028,1,IND411033AAA,IND421302AAG
trip-153707612553397041,1,IND712311AAA,IND700028AAB
trip-153707613407318699,1,IND121004AAB,IND110037AAM
trip-153707618356689541,1,IND560078AAC,IND562132AAA
trip-153707632667885792,1,IND560099AAB,IND562132AAA
trip-153707664325556943,1,IND560048AAB,IND560099AAB
trip-153707706727714638,1,IND641607AAA,IND641062AAD
trip-153707709888828466,1,IND560078AAC,IND560099AAB
trip-153707725586963555,1,IND700026AAC,IND700065AAA
trip-153707732642678692,1,IND560058AAB,IND562132AAA
trip-153707747162975384,1,IND560048AAB,IND562132AAA
trip-153707765754505152,1,IND411033AAA,IND416012AAA
trip-153707788258909245,1,IND000000AEM,IND110064AAB
trip-153707806244609407,1,IND466116AAA,IND462022AAA
trip-153707813257548712,1,IND600032AAB,IND600056AAB
trip-153707815743147547,1,IND302014AAB,IND302020AAA
trip-153707815743147547,2,IND302026AAA,IND302014AAB
trip-153707817313776650,1,IND400072AAD,IND421302AAG
trip-153707818188540132,1,IND560043AAC,IND562132AAA
trip-153707830489429418,1,IND560067AAC,IND562114AAA
trip-153707830489429418,2,IND562114AAA,IND560048AAB
trip-153707862436152038,1,IND712311AAA,IND700088AAA
trip-153707862840490628,1,IND639001AAA,IND624001AAA
trip-153707862840490628,2,IND624001AAA,IND625008AAA
trip-153707869206199729,1,IND560300AAA,IND560099AAB
trip-153707869624653072,1,IND421302AAG,IND400015AAA
trip-153707889075734487,1,IND636102AAA,IND605601AAA
trip-153707889075734487,2,IND605601AAA,IND600056AAB
trip-153707890010617445,1,IND500080AAB,IND501359AAE
trip-153707890037004730,1,IND000000ACB,IND562132AAA
trip-153707896298671717,1,IND600044AAD,IND603203AAA
trip-153707928006502698,1,IND141003AAB,IND000000ACA
trip-153707953967674432,1,IND110037AAM,IND110035AAC
trip-153707987126515519,1,IND462022AAA,IND465669AAB
trip-153707987126515519,2,IND465669AAB,IND465683AAA
trip-153707987126515519,3,IND465683AAA,IND465001AAA
trip-153707987126515519,4,IND465001AAA,IND462022AAA
trip-153707994160983031,1,IND560043AAC,IND560064AAA
trip-153707994160983031,2,IND560064AAD,IND560043AAC
trip-153707995429703195,1,IND401209AAA,IND401104AAA
trip-153708004747684334,1,IND700065AAA,IND712311AAA
trip-153708050687307419,1,IND110043AAA,IND110078AAA
trip-153708075974847869,1,IND712311AAA,IND742101AAC
trip-153708075974847869,2,IND742101AAC,IND712311AAA
trip-153708088027531878,1,IND461111AAA,IND460001AAA
trip-153708088027531878,2,IND460001AAA,IND480334AAA
trip-153708088027531878,3,IND480334AAA,IND480106AAA
trip-153708134375441032,1,IND562132AAA,IND560099AAB
trip-153708145843244755,1,IND411033AAA,IND431136AAC
trip-153708149814666413,1,IND121004AAB,IND000000ACB
trip-153708182972179846,1,IND110014AAA,IND110024AAA
trip-153708185897280350,1,IND500055AAA,IND501401AAC
trip-153708185897280350,2,IND501401AAC,IND500010AAA
trip-153708207040838113,1,IND411033AAA,IND421302AAG
trip-153708214660731940,1,IND620020AAA,IND621112AAA
trip-153708238735441312,1,IND000000ACB,IND131028AAB
trip-153708274644993170,1,IND201306AAA,IND201301AAF
trip-153708276703875670,1,IND121004AAB,IND121001AAA
trip-153708290496423317,1,IND600056AAB,IND600032AAB
trip-153708294775984590,1,IND600056AAB,IND600008AAC
trip-153708300168954416,1,IND122001AAD,IND122050AAA
trip-153708322605192520,1,IND560058AAB,IND560099AAB
trip-153708327378973447,1,IND121004AAB,IND121102AAA
trip-153708332935264161,1,IND562132AAA,IND560300AAA
trip-153708355728832882,1,IND201307AAA,IND201301AAL
trip-153708355728832882,2,IND201301AAL,IND201301AAF
trip-153708384572872154,1,IND421302AAG,IND411033AAA
trip-153708397519130004,1,IND110044AAB,IND000000ACB
trip-153708432801367780,1,IND121004AAB,IND121004AAA
trip-153708496687359037,1,IND411033AAA,IND431603AAA
trip-153708606033423019,1,IND451666AAA,IND424006AAA
trip-153708606033423019,2,IND424006AAA,IND421302AAG
trip-153708658616028344,1,IND560058AAD,IND562132AAA
trip-153708715000420143,1,IND560300AAA,IND562132AAA
trip-153708729397640232,1,IND131028AAB,IND244235AAA
trip-153708729397640232,2,IND244235AAA,IND244901AAB
trip-153708729397640232,3,IND244901AAB,IND244221AAA
trip-153708729397640232,4,IND244221AAA,IND131028AAB
trip-153708748413873733,1,IND160002AAC,IND000000ACB
trip-153708748413873733,2,IND000000ACB,IND421302AAG
trip-153708766985194883,1,IND131028AAB,IND000000ACB
trip-153708772330696383,1,IND302014AAA,IND305001AAC
trip-153708772330696383,2,IND305001AAC,IND306401AAB
trip-153708772330696383,3,IND306401AAB,IND342005AAD
trip-153708772330696383,4,IND342005AAD,IND342902AAA
trip-153708799833561946,1,IND501359AAE,IND562132AAA
trip-153708802732853784,1,IND400072AAB,IND421302AAG
trip-153708815081307457,1,IND562132AAA,IND560058AAD
trip-153708829647052203,1,IND600056AAB,IND600110AAA
trip-153708879365800240,1,IND562132AAA,IND573201AAB
trip-153708879365800240,2,IND573201AAB,IND575004AAB
trip-153708903423093805,1,IND834002AAB,IND826004AAA
trip-153708924190932795,1,IND131021AAA,IND131028AAA
trip-153708949529986248,1,IND421302AAG,IND401104AAA
trip-153708949529986248,2,IND401104AAA,IND421302AAG
trip-153708978798314114,1,IND683511AAA,IND562132AAA
trip-153709000440641023,1,IND562132AAA,IND560300AAA
trip-153709022709120133,1,IND211002AAB,IND209304AAA
trip-153709022709120133,2,IND209304AAA,IND000000ACB
trip-153709057101555101,1,IND160002AAC,IND181152AAA
trip-153709057101555101,2,IND181152AAA,IND184121AAA
trip-153709057101555101,3,IND184121AAA,IND160002AAC
trip-153709065519778813,1,IND160002AAC,IND151001AAA
trip-153709065519778813,2,IND151001AAA,IND160002AAC
trip-153709088891027925,1,IND000000ACB,IND328001AAA
trip-153709088891027925,2,IND328001AAA,IND474003AAA
trip-153709088891027925,3,IND284001AAA,IND284403AAA
trip-153709105726366710,1,IND560060AAB,IND560099AAB
trip-153709114620916205,1,IND421302AAG,IND000000ACB
trip-153709159977109492,1,IND160002AAC,IND143001AAA
trip-153709159977109492,2,IND143001AAA,IND144001AAB
trip-153709159977109492,3,IND144001AAB,IND000000ACA
trip-153709159977109492,4,IND000000ACA,IND160002AAC
trip-153709202161432890,1,IND560043AAC,IND560099AAB
trip-153709234093276989,1,IND562132AAA,IND560099AAB
trip-153709308343145533,1,IND306401AAB,IND305001AAC
trip-153709400445986507,1,IND421302AAG,IND501359AAE
trip-153709408797309517,1,IND560099AAB,IND562132AAA
trip-153709414287625422,1,IND421302AAG,IND400102AAC
trip-153709428734920326,1,IND110037AAK,IND000000ACB
trip-153709453539932323,1,IND501359AAE,IND505001AAB
trip-153709453539932323,2,IND505001AAB,IND503111AAC
trip-153709453539932323,3,IND503111AAC,IND501359AAE
trip-153709462265745109,1,IND781018AAB,IND784001AAA
trip-153709462265745109,2,IND784001AAA,IND791111AAC
trip-153709462265745109,3,IND787057AAA,IND787059AAB
trip-153709462265745109,4,IND791125AAB,IND791102AAA
trip-153709462265745109,5,IND791102AAA,IND784168AAB
trip-153709462265745109,6,IND784168AAB,IND784176AAA
trip-153709488173002430,1,IND560300AAA,IND562132AAA
trip-153709492316223315,1,IND751002AAB,IND760003AAB
trip-153709492316223315,2,IND760003AAB,IND761020AAA
trip-153709615087588634,1,IND000000ACB,IND302014AAA
trip-153709619784282701,1,IND562132AAA,IND560083AAB
trip-153709634540345122,1,IND160002AAC,IND144001AAB
trip-153709634540345122,2,IND000000ACA,IND160002AAC
trip-153709658920426441,1,IND000000ACB,IND160002AAC
trip-153709676093721025,1,IND209304AAA,IND110037AAM
trip-153709727696873749,1,IND501359AAE,IND506002AAA
trip-153709727696873749,2,IND506002AAA,IND506143AAA
trip-153709727696873749,3,IND506143AAA,IND506167AAB
trip-153709727696873749,4,IND506167AAB,IND501359AAE
trip-153709765496074705,1,IND700065AAA,IND712311AAA
trip-153709766365328494,1,IND600056AAB,IND632006AAA
trip-153709766365328494,2,IND632006AAA,IND632402AAA
trip-153709766365328494,3,IND632402AAA,IND631102AAA
trip-153709766365328494,4,IND631102AAA,IND600056AAB
trip-153709773581143338,1,IND600056AAB,IND605010AAB
trip-153709773581143338,2,IND604303AAA,IND603102AAA
trip-153709773581143338,3,IND603102AAA,IND600056AAB
trip-153709775577065037,1,IND700026AAC,IND712311AAA
trip-153709783119666611,1,IND562132AAA,IND000000ACB
trip-153709796178653768,1,IND562132AAA,IND560099AAB
trip-153709796178653768,2,IND560099AAB,IND683511AAA
trip-153709815340959040,1,IND560099AAB,IND562132AAA
trip-153709852133880015,1,IND160002AAC,IND000000ACA
trip-153709871339366218,1,IND560300AAA,IND560099AAB
trip-153709903590662319,1,IND221303AAA,IND231001AAA
trip-153709924954097195,1,IND621306AAA,IND625106AAA
trip-153709924954097195,2,IND625106AAA,IND625008AAA
trip-153709926369872354,1,IND400072AAD,IND421302AAG
trip-153709946739131289,1,IND233001AAA,IND275101AAA
trip-153709946739131289,2,IND275503AAA,IND275303AAA
trip-153709946739131289,3,IND275303AAA,IND276140AAA
trip-153709985937149485,1,IND401104AAB,IND421302AAG
trip-153709987802882184,1,IND000000AAL,IND411033AAA
trip-153710031255689241,1,IND110037AAM,IND202001AAB
trip-153710031255689241,2,IND281121AAB,IND110037AAM
trip-153710040165781209,1,IND600016AAB,IND600044AAC
trip-153710073705494428,1,IND421302AAG,IND411033AAA
trip-153710084962189387,1,IND382430AAB,IND000000ACB
trip-153710088123444052,1,IND246174AAA,IND246444AAB
trip-153710088123444052,2,IND246444AAB,IND246424AAA
trip-153710088123444052,3,IND246424AAA,IND246174AAA
trip-153710104009883407,1,IND382430AAB,IND370201AAA
trip-153710109935562376,1,IND382430AAB,IND364004AAB
trip-153710115835573631,1,IND781018AAB,IND784125AAA
trip-153710115835573631,2,IND784125AAA,IND784110AAA
trip-153710115835573631,3,IND784110AAA,IND781018AAB
trip-153710128882927165,1,IND000000ACB,IND301001AAB
trip-153710140173080801,1,IND522647AAA,IND523201AAA
trip-153710150497989359,1,IND523002AAA,IND523230AAA
trip-153710156573772954,1,IND580028AAA,IND581402AAA
trip-153710156573772954,2,IND581402AAA,IND577401AAA
trip-153710156573772954,3,IND577401AAA,IND577201AAA
trip-153710156573772954,4,IND577201AAA,IND562132AAA
trip-153710215731016199,1,IND000000ACT,IND131028AAB
trip-153710233216654731,1,IND000000ACB,IND125005AAA
trip-153710292150289688,1,IND000000ACB,IND421302AAG
trip-153710379077021351,1,IND000000ACB,IND122001AAA
trip-153710426374080474,1,IND600032AAB,IND600076AAB
trip-153710426374080474,2,IND600076AAB,IND600032AAB
trip-153710462458071571,1,IND000000ACB,IND131028AAB
trip-153710494321650505,1,IND302014AAA,IND303702AAB
trip-153710494321650505,2,IND303702AAB,IND332404AAA
trip-153710494321650505,3,IND332404AAA,IND332001AAB
trip-153710494321650505,4,IND332001AAB,IND334001AAB
trip-153710494321650505,5,IND334001AAC,IND334803AAA
trip-153710494321650505,6,IND334803AAA,IND341001AAC
trip-153710494321650505,7,IND341001AAC,IND341303AAA
trip-153710494321650505,8,IND341303AAA,IND341306AAA
trip-153710502080687238,1,IND562132AAA,IND583101AAA
trip-153710502080687238,2,IND583101AAA,IND577535AAC
trip-153710502080687238,3,IND577535AAC,IND577522AAA
trip-153710502080687238,4,IND577522AAA,IND562132AAA
trip-153710510045251893,1,IND781018AAB,IND793001AAA
trip-153710515434177634,1,IND562132AAA,IND560300AAA
trip-153710534230663734,1,IND501359AAE,IND585104AAA
trip-153710574394338691,1,IND562132AAA,IND751002AAB
trip-153710574394338691,2,IND751002AAB,IND712311AAA
trip-153710593689331372,1,IND591102AAA,IND591307AAC
trip-153710594985060395,1,IND110044AAB,IND131028AAB
trip-153710706030505539,1,IND000000ACB,IND110085AAB
trip-153710786641454121,1,IND000000ACB,IND110030AAD
trip-153710787167934818,1,IND560300AAA,IND562132AAA
trip-153710789070188261,1,IND000000ACB,IND712311AAA
trip-153710817985241981,1,IND201007AAB,IND110044AAB
trip-153710829288962163,1,IND560083AAB,IND562132AAA
trip-153710899874596076,1,IND313001AAB,IND312001AAA
trip-153710899874596076,2,IND312001AAA,IND311001AAA
trip-153710899874596076,3,IND311001AAA,IND313324AAA
trip-153710899874596076,4,IND313324AAA,IND313001AAB
trip-153710911230787176,1,IND209304AAA,IND000000ACB
trip-153710913818381017,1,IND501359AAE,IND413002AAA
trip-153710913818381017,2,IND413002AAA,IND421302AAG
trip-153710918831478523,1,IND700136AAG,IND712310AAA
trip-153710921972338485,1,IND580028AAA,IND591115AAB
trip-153710921972338485,2,IND591115AAB,IND590016AAA
trip-153710926183581886,1,IND421302AAG,IND400072AAA
trip-153710931157654321,1,IND421302AAG,IND400102AAC
trip-153710934463889220,1,IND562132AAA,IND573201AAB
trip-153710934463889220,2,IND573201AAB,IND575004AAB
trip-153710955991581752,1,IND411033AAA,IND413002AAA
trip-153710955991581752,2,IND413002AAA,IND413501AAA
trip-153710955991581752,3,IND413501AAA,IND413401AAA
trip-153710992275907016,1,IND712311AAA,IND000000ACB
trip-153710998148322529,1,IND421302AAG,IND395023AAA
trip-153711022211268088,1,IND827013AAA,IND829121AAA
trip-153711022211268088,2,IND829121AAA,IND834002AAB
trip-153711117863581926,1,IND395023AAA,IND110037AAM
trip-153711137119449163,1,IND000000ACB,IND201301AAM
trip-153711145135056772,1,IND411033AAA,IND421302AAG
trip-153711161370578241,1,IND302014AAA,IND301001AAB
trip-153711161370578241,2,IND303106AAA,IND303002AAA
trip-153711161370578241,3,IND303002AAA,IND302014AAA
trip-153711194376053236,1,IND834002AAB,IND829122AAA
trip-153711194376053236,2,IND829122AAA,IND825301AAA
trip-153711194376053236,3,IND825301AAA,IND825409AAA
trip-153711194376053236,4,IND825409AAA,IND000000ACB
trip-153711218896208719,1,IND131028AAB,IND000000ACB
trip-153711227847046656,1,IND600032AAB,IND600056AAB
trip-153711231882102265,1,IND000000ACA,IND160002AAC
trip-153711273266190743,1,IND000000ACB,IND160002AAC
trip-153711291938450659,1,IND000000ACB,IND110064AAA
trip-153711293483508092,1,IND131028AAB,IND247667AAA
trip-153711293483508092,2,IND247667AAA,IND249407AAA
trip-153711293483508092,3,IND249201AAA,IND249407AAA
trip-153711293483508092,4,IND249407AAA,IND131028AAB
trip-153711301304566145,1,IND421302AAG,IND401104AAA
trip-153711308459107107,1,IND000000ACA,IND142001AAB
trip-153711308459107107,2,IND142001AAB,IND152026AAA
trip-153711316479665031,1,IND421302AAG,IND422011AAD
trip-153711316479665031,2,IND422011AAD,IND421302AAG
trip-153711332066101565,1,IND131028AAB,IND251001AAA
trip-153711332066101565,2,IND251001AAA,IND247554AAA
trip-153711332066101565,3,IND247554AAA,IND248001AAA
trip-153711332066101565,4,IND248001AAA,IND131028AAB
trip-153711376546949422,1,IND472001AAA,IND485001AAC
trip-153711406874040244,1,IND411033AAA,IND000000AAL
trip-153711440636180931,1,IND000000ACA,IND144001AAB
trip-153711440636180931,2,IND144001AAB,IND143001AAA
trip-153711452587811526,1,IND110044AAB,IND000000ACB
trip-153711466665514975,1,IND712311AAA,IND700088AAA
trip-153711478117733753,1,IND000000ACB,IND121002AAB
trip-153711525842600092,1,IND580028AAA,IND591123AAC
trip-153711525842600092,2,IND591123AAC,IND587103AAB
trip-153711525842600092,3,IND587103AAB,IND582101AAB
trip-153711591400854806,1,IND421302AAG,IND400072AAB
trip-153711616914003182,1,IND560099AAB,IND562132AAA
trip-153711618151719046,1,IND804420AAA,IND803101AAA
trip-153711618151719046,2,IND803101AAA,IND805110AAD
trip-153711618151719046,3,IND805110AAD,IND803116AAA
trip-153711618151719046,4,IND803116AAA,IND803108AAB
trip-153711628893666354,1,IND562132AAA,IND560099AAB
trip-153711628893666354,2,IND560099AAB,IND632006AAA
trip-153711665914333066,1,IND501359AAE,IND500050AAA
trip-153711674373435872,1,IND131021AAA,IND131028AAA
trip-153711677618570236,1,IND501359AAE,IND500008AAC
trip-153711691516777328,1,IND600056AAB,IND560099AAB
trip-153711691516777328,2,IND560099AAB,IND562132AAA
trip-153711720928595307,1,IND562132AAA,IND560099AAB
trip-153711784394951290,1,IND821115AAB,IND000000ACB
trip-153711794150895548,1,IND382430AAB,IND388320AAA
trip-153711794150895548,2,IND388320AAA,IND390022AAA
trip-153711794150895548,3,IND390022AAA,IND395023AAA
trip-153711801471977037,1,IND683511AAA,IND68004AAA
trip-153711801471977037,2,IND68004AAA,IND678683AAA
trip-153711801471977037,3,IND678683AAA,IND000000ABD
trip-153711801471977037,4,IND000000ABD,IND562132AAA
trip-153711807404807865,1,IND421302AAG,IND400102AAC
trip-153711813775823067,1,IND000000ACB,IND110037AAK
trip-153711821103419406,1,IND400072AAB,IND000000AFT
trip-153711853773125331,1,IND000000ACB,IND131028AAB
trip-153711877341515235,1,IND575004AAB,IND575014AAA
trip-153711877341515235,2,IND576101AAA,IND576201AAA
